"","ticker","finance_site","website","description","keywords"
"1","JAX","https://finance.yahoo.com/quote/JAX","http://www.jalexandersholdings.com","A collection of boutique restaurants: J. Alexander&#039;s, Redlands Grill, Stoney River, Overland Park Grill &amp; Lyndhurst Grill",NA
"2","JILL","https://finance.yahoo.com/quote/JILL","http://www.jjill.com","J.Jill offers unique and fashionable women&#039;s apparel, accessories, and footwear. Clothing available in misses, petite, tall, and plus sizes. Shop JJill’s inspired style collection.","JJill JJill Store"
"3","JCP","https://finance.yahoo.com/quote/JCP","http://www.jcpenney.com",NA,NA
"4","SJM","https://finance.yahoo.com/quote/SJM","http://www.jmsmucker.com","",""
"5","JBL","https://finance.yahoo.com/quote/JBL","http://www.jabil.com","At Jabil we strive to be the most technologically advanced and trusted  manufacturing solutions provider.",NA
"6","JEC","https://finance.yahoo.com/quote/JEC","http://www.jacobs.com",NA,NA
"7","JAG","https://finance.yahoo.com/quote/JAG","http://www.jaggedpeakenergy.com","Independent energy company headquartered in Denver, Colorado. We're engaged ",NA
"8","JHX","https://finance.yahoo.com/quote/JHX","http://www.jameshardie.com","James Hardie is the world leader in fiber cement siding and backerboard. We've been providing a better way to build for over 100 years.",NA
"9","JHG","https://finance.yahoo.com/quote/JHG","http://www.janushenderson.com","As a leading global manager, Janus Henderson offers actively managed solutions to meet diverse investment goals and delivers exceptional client service.",NA
"10","JOF","https://finance.yahoo.com/quote/JOF","http://funds.nomura-asset.com","",NA
"11","JBGS","https://finance.yahoo.com/quote/JBGS","http://www.jbgsmith.com","JBG SMITH | Washington DC REIT","JBG SMITH | Washington DC REIT"
"12","JEF","https://finance.yahoo.com/quote/JEF","http://www.jefferies.com","width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=no",NA
"13","JEF","https://finance.yahoo.com/quote/JEF","http://www.jefferies.com","Jefferies offers deep sector expertise across a full range of products and services in investment banking, equities, fixed income, commodities, wealth and asset management.",NA
"14","JELD","https://finance.yahoo.com/quote/JELD","http://www.jeld-wen.com",NA,NA
"15","JCAP","https://finance.yahoo.com/quote/JCAP","http://www.jernigancapital.com",NA,NA
"16","JT","https://finance.yahoo.com/quote/JT","http://www.jianpu.ai","简普科技",NA
"17","JKS","https://finance.yahoo.com/quote/JKS","http://www.jinkosolar.com",NA,NA
"18","JMP","https://finance.yahoo.com/quote/JMP","http://www.jmpg.com","JMP Group is a full-service investment banking and asset management firm that provides investment banking, sales and trading, and equity research services.",NA
"19","JBT","https://finance.yahoo.com/quote/JBT","http://www.jbtc.com","JBT is a leading global technology solutions provider to high-value segments of the food processing and air transportation industries. ",NA
"20","BTO","https://finance.yahoo.com/quote/BTO","http://www.jhfunds.com",NA,NA
"21","HEQ","https://finance.yahoo.com/quote/HEQ","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"22","JHS","https://finance.yahoo.com/quote/JHS","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"23","JHI","https://finance.yahoo.com/quote/JHI","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"24","HPF","https://finance.yahoo.com/quote/HPF","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"25","HPI","https://finance.yahoo.com/quote/HPI","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"26","HPS","https://finance.yahoo.com/quote/HPS","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"27","PDT","https://finance.yahoo.com/quote/PDT","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"28","HTD","https://finance.yahoo.com/quote/HTD","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"29","HTY","https://finance.yahoo.com/quote/HTY","http://www.jhinvestments.com","Voted the #1 provider of multimanager investments by financial advisors. Discover our lineup of time-tested strategies from one of America’s most trusted brands. ",NA
"30","JNJ","https://finance.yahoo.com/quote/JNJ","http://www.jnj.com","For over 130 years, Johnson &amp; Johnson has maintained a tradition of quality and innovation. Learn about the products, people and history that make up our company.",NA
"31","JCI","https://finance.yahoo.com/quote/JCI","http://www.johnsoncontrols.com","Johnson Controls is a global diversified technology and multi industrial leader serving a wide range of customers in more than 150 countries. ",""
"32","JLL","https://finance.yahoo.com/quote/JLL","http://www.us.jll.com","Find commercial real estate services and property investment strategies. We work with owners, tenants and investors in the local, national and global markets.",NA
"33","JMEI","https://finance.yahoo.com/quote/JMEI","http://bj.jumei.com","聚美优品是国内知名正品女性团购网站,也是领先的品牌化妆品团购和护肤品团购网,聚美优品团购化妆品每天有超值的化妆品和护肤品团购信息,详情登陆聚美优品官网：jumei.com。","聚美优品,化妆品团购,今日团购,化妆品防伪,化妆品验真,真品联盟"
"34","JMIA","https://finance.yahoo.com/quote/JMIA","http://group.jumia.com","100% Africa, 100% Internet • Jumia builds a digital Africa, connecting Africans with each other, bringing consumer goods and services to all • View our platforms, career opportunities and business news",NA
"35","JNPR","https://finance.yahoo.com/quote/JNPR","http://www.juniper.net","Juniper Networks provides high-performance networking & cybersecurity solutions to service providers, enterprise companies & public sector organizations.",""
"36","JP","https://finance.yahoo.com/quote/JP","http://www.jpinvestment.cn","上海钜派投资集团是国内最早成立，规模最大的专业财富管理机构之一，派投资由实力雄厚的全国性综合投资集团发起。钜派投资愿意作为您的尽心尽责的财富管理专家而努力。","上海钜派投资集团有限公司,钜派,钜派投资"
"37","JE","https://finance.yahoo.com/quote/JE","http://investors.justenergy.com","The Investor Relations website contains information about Just Energy Group Inc.&#039;s business for stockholders, potential investors, and financial analysts.",NA
"38","LRN","https://finance.yahoo.com/quote/LRN","http://www.k12.com","K12 is the trusted provider of online learning for many virtual public schools, as well as homeschooling. K12&#39;s public schools feature rigorous online curriculum with hands-on materials. Take charge of your child’s education with K12.",NA
"39","KAI","https://finance.yahoo.com/quote/KAI","http://www.kadant.com","Kadant Inc. is a global supplier of high-value, engineered systems used in process industries worldwide. Our products, technologies, and services play an integral role in enhancing process efficiency, optimizing energy utilization, and maximizing productivity in resource-intensive industries. ",NA
"40","KDMN","https://finance.yahoo.com/quote/KDMN","http://www.kadmon.com","Kadmon is a biopharmaceutical company focused on developing innovative medicines for serious unmet medical needs.","Kadmon, Pharma, pharmaceutical, Kadmon Corporation, biopharmaceutical, Biotechnology, RIBISPHERE"
"41","KAMN","https://finance.yahoo.com/quote/KAMN","http://www.kaman.com","Kaman Corporation has grown to become a world-leading aviation innovator and one of the country’s largest industrial distributors and systems consultants.","Aviation industry pioneer, industrial distribution, Charles Kaman, KIT, unmanned helicopter, aerospace engineering company, Kaman Corporation"
"42","KSU","https://finance.yahoo.com/quote/KSU","http://www.kcsouthern.com","$dotPageContent.seodescription","$dotPageContent.seokeywords"
